sentence	aspect	polarity
I would recommend it just because of the internet speed probably because thats the only thing i really care about.	laptop connectivity	positive
I would recommend it just because of the internet speed probably because thats the only thing i really care about.	laptop operation performance	positive
I wish the volume could be louder and the mouse didnt break after only a month.	mouse quality	negative
I wish the volume could be louder and the mouse didnt break after only a month.	multimedia devices quality	negative
I received this laptop as a gift and let me just tell you that its the worst.	laptop general	negative
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.	laptop quality	negative
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.	motherboard quality	negative
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.	support quality	negative
This computer doesn't do that well with certain games it can't play some and it becomes too hot while playing games.	laptop miscellaneous	negative
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.	laptop miscellaneous	negative
the whole experiece is horrible so save up and buy a better laptop.	laptop general	negative
I bought a HP Pavilion DV4-1222nr laptop and have had so many problems with the computer.	laptop general	negative
The computer is so slow, even after paying staples the extra money to speed it up.	laptop operation performance	negative
They said it was a computer error on this type of computer.	laptop miscellaneous	negative
Also, I have alot of trouble with it getting very hot, and not even sitting on anything to make it hot.	laptop quality	negative
When the computer has been on for several minutes, it will occasionaly just go off by itself.	laptop operation performance	negative
Also, the battery does not last very long at all.	battery operation performance	negative
I would recommend not buying this product.	laptop general	negative
I have had no luck with staples or HP to resolve this problem.	support quality	negative
I am stuck with a laptop that I cannot do very much with.	laptop general	negative
Also, I have had alot of trouble with the keys sticking and will not type correctly.	keyboard operation performance	negative
Also, I have had alot of trouble with the shift key to go to other lines.	keyboard operation performance	negative
It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.	keyboard operation performance	negative
It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.	keyboard usability	negative
Sometimes the screen even goes black on this computer.	display operation performance	negative
Will probably never buy a HP again.	company general	negative
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.	laptop operation performance	neutral
Purchased a Toshiba Lap top it worked good until just after the warrenty went out.	laptop quality	neutral
After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.	hard disc quality	negative
After the warrenty expired the hard drive went bad and it would have cost more to fix then to replace.	support price	negative
I hate it.	laptop general	negative
I have had the luxury (sarcasm) of owning 2 of these laptops.	laptop general	negative
The first fell apart right after the 1-year-warranty.	laptop quality	negative
During that time, I had to send it back 3 times.	laptop quality	negative
I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.	laptop design features	negative
I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.	laptop price	negative
I paid about 18000 for this laptop because of all the bells and whistles and it kept crapping out on me.	laptop quality	negative
None of the techs at HP knew what they were doing.	support quality	negative
They would repair one thing, send it back and it would still have the same problem.	support quality	negative
The processor went on me, the fan went and the motherboard went.	cpu quality	negative
The processor went on me, the fan went and the motherboard went.	fans cooling quality	negative
The processor went on me, the fan went and the motherboard went.	motherboard quality	negative
I wanted to purchase the extended warranty and they refused, because they knew it was trouble.	laptop general	negative
I wanted to purchase the extended warranty and they refused, because they knew it was trouble.	support quality	negative
I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.	support quality	negative
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.	warranty price	neutral
I sent it back AND THEY LOST IT.	support quality	negative
I waited and waited and no laptop.	support quality	negative
Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.	support quality	negative
I waited another month for approval and for them to "BUILD" me a new laptop.	support quality	negative
I thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and I wouldn't have the same problems because it was updated.	laptop connectivity	negative
Here we are another year later and the computer is doing the same thing.	support quality	negative
HP didn't fix it.	support quality	negative
I swear they design these things to go to crap after a year so you are stuck and have to buy a new one.	laptop quality	negative
in 5 months the connect quality got worse and worse.	laptop connectivity	negative
in 5 months the connect quality got worse and worse.	laptop quality	negative
1st time they got it working the next 5 month they had me send it in.	support quality	negative
returned it.	laptop general	negative
5 months dead again.	laptop quality	negative
They say sorry out of warranty.	support quality	negative
Summary: They played games with me for the warranty period.	support quality	negative
Now 17 months later they want (would not say exact amount) $165.00 to $400 to fix the machine.	support price	negative
They had me send in the machine last April returned it to me in May with no documentation on what was done it anything.	support quality	negative
Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.	laptop connectivity	negative
Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.	support quality	negative
So buyer beware when buying Toshiba	company general	negative
They are wonderful, but very dangerous when it comes to emitting heat.	laptop general	positive
They are wonderful, but very dangerous when it comes to emitting heat.	laptop quality	negative
I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there.	laptop quality	negative
I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.	support quality	negative
For my burn thigh which has put a permanent mark on my skin (it happened 7 months ago) they offered me an ITouch 8Gig (you know it is a bit insulating when a company this rich, offer a loyal customer like me, a bottom of their product line as a gift for events like this).	company general	negative
Steve Jobs, probably needs help and donations, and cannot afford a reasonable offers for people that truly are trying to support his baby.	company general	negative
The lesson learned here is: It does not pay to by this loyal to any brand, since all of them are there to simply to make as much money as possible, as fast as they can, and in this day and age, the customer no longer is right all the times.	company general	negative
I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.	laptop design features	neutral
Anyways I bought this two months ago and when I first brought it home it kept giving me a message about a vibration in the hard drive and it is putting it temporaly in save zone.	hard disc quality	negative
So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.	support quality	positive
Also the speakers are not very loud, But it is a netbook.	multimedia devices quality	neutral
Would HIGHLY recommend this netbook though.	laptop general	positive
I custom ordered the machine from HP and could NOT understand the techie due to his accent.	support quality	negative
The computer was two weeks late in delivery because HP forgot to complete the required import paperwork.	shipping quality	negative
My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.	laptop price	negative
My laptop cost approximately $2,300 and DIED after only 2-years, 10-months and 18-days of use.	laptop quality	negative
Although my model was listed as recalled, HP denied my claim.	support quality	negative
This laptop leaves alot to be desired, I have had it only 5 months and have had to send it away to be repaired twice...	laptop general	negative
This laptop leaves alot to be desired, I have had it only 5 months and have had to send it away to be repaired twice...	laptop quality	negative
I bought it from HSN because it was "bundled" with extra software, but as it turns out, that software just crashes it more often.....	laptop design features	neutral
I bought it from HSN because it was "bundled" with extra software, but as it turns out, that software just crashes it more often.....	laptop operation performance	negative
I bought it from HSN because it was "bundled" with extra software, but as it turns out, that software just crashes it more often.....	software general	negative
If you shop around in the current market you can find a much better deal.	laptop general	negative
The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.	shipping quality	negative
The repairs were made quickly though I must say, however the second time they shipped it to the incorrect address and it took nearly a week for them to get it to me.	support quality	positive
Unable to boot up this brand new laptop.	laptop operation performance	negative
Unable to boot up this brand new laptop.	laptop quality	negative
Spent 2 hours on phone with HP Technical Support.	support quality	negative
They went through asking me open up various components, taking battery out, hard disk apart, and after 2 hours on phone could not fix it.	support quality	negative
They are asking me to ship the unit back to fix it at their site.	support quality	neutral
I am going to go back and return at Store I bought from!	laptop general	negative
This computer had exactly the specifications I needed.	laptop design features	positive
Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.	laptop design features	positive
Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.	laptop operation performance	positive
Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.	laptop portability	positive
The perfect notebook...	laptop general	positive
When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.	laptop operation performance	negative
The Aspire wont even boot past the Acer screen with a Droid (I have tried both Motorola and HTC) plugged into the USB port.	laptop connectivity	negative
Called tech support and got the usual Acer "We don't support software but for $$$ we can help you" I explained there was no software involved in booting.	support quality	negative
No, tey don't even support their own bios and it "could be a problem with the bios" How can a company that makes a fairly decent product get away with such insanity??!!	support quality	negative
Needless to say a PC that can't support a cell phone is less than useless!	laptop connectivity	negative
With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.	company general	negative
With today's company fighting over marketshare, its a shame that ASUS can get away with the inept staff answering thephone.	support quality	negative
I agree with the previous comment that ASUS TECH SUPPORT IS HORRIBLE WHICH IS A CON IN MY OPINION.	support quality	negative
Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.	power supply operation performance	negative
Summary: I've had this laptop for 2 months, out of the blue the power adapter stops working.	power supply quality	negative
But no one could tell me when my part would be shipped nor could they tell me where to buy it ON THEIR WEBSITE!!!	support quality	negative
Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.	support quality	negative
This was the 3rd day and part still had not been shipped.	support quality	negative
The rep did not even answer my question, I had to ask him, if he understood what I ask or if he spoke english because he didn't even try to acknowledge my question.	support quality	negative
I'm tired of the inept service.	support quality	negative
If you are looking for a netbook pc DO NOT BUY FROM ASUS!!!	company general	negative
Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.	power supply design features	negative
Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.	power supply operation performance	negative
I'M REALLY FRUSTRATED BY THIS EXPERIENCE.	laptop general	negative
HOW DOES THE POWER SUPPLY NOT WORK!!!	power supply operation performance	negative
Our Apple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook and has become such an integral part of completing our daily needs and social networking.	laptop miscellaneous	positive
I do everything on this computer - check email, facebook, shop, check blogs, write papers, listen to music, and we even watch all of our movies on it since we do not have a tv.	laptop general	positive
I do everything on this computer - check email, facebook, shop, check blogs, write papers, listen to music, and we even watch all of our movies on it since we do not have a tv.	laptop miscellaneous	positive
It pretty much does everything we could ever need, and looks great to boot.	laptop design features	positive
It pretty much does everything we could ever need, and looks great to boot.	laptop operation performance	positive
Apple is always great about the aesthetics of things, they always come up with good looking products.	company general	positive
Apple is always great about the aesthetics of things, they always come up with good looking products.	laptop design features	positive
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.	laptop operation performance	positive
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.	software usability	positive
So, if you're thinking of a laptop, I would heartily recommend theApple 13.3 MacBook Pro Notebook Computer (Z0J80001) Notebook for all your needs!	laptop general	positive
It's great and we will always stick with Apple computers, we have been so happy with them.	company general	positive
It's great and we will always stick with Apple computers, we have been so happy with them.	laptop general	positive
The 13" MacBook Pro is portable, durable, and very capable.	laptop operation performance	positive
The 13" MacBook Pro is portable, durable, and very capable.	laptop portability	positive
The 13" MacBook Pro is portable, durable, and very capable.	laptop quality	positive
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.	battery operation performance	positive
It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.	laptop miscellaneous	positive
It's also very energy efficient, running on a quarter of the power it takes to run a 60 Watt lightbulb.	laptop operation performance	positive
It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.	graphics general	positive
It's graphics aren't bad at all, for the lower end of the MacBook Pro spectrum, easily capable of running StarCraft II and other games with comparable graphics.	laptop miscellaneous	positive
The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.	mouse design features	positive
The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.	os usability	positive
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	mouse design features	positive
However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).	mouse usability	positive
Still, this laptop is perfect for all day use at school and work.	laptop miscellaneous	positive
They also have a longer service life than other computers (I have several friends who still use the older Apple PowerBooks).	laptop quality	positive
Probbly the worst decision we ever made!	laptop general	negative
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!	hard disc quality	negative
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!	keyboard quality	negative
pretty much everything else about the computer is good it just stops working out of no were.	laptop general	positive
pretty much everything else about the computer is good it just stops working out of no were.	laptop operation performance	negative
i love the size of the computer since i play games on it.	laptop design features	positive
i also love having the extra calculator number set up on the keyboard which most laptops do not have.	keyboard design features	positive
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.	keyboard design features	negative
also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.	keyboard usability	negative
So i would not reccomend anyone buying this computer	laptop general	negative
First, it does not have a push button to open the lid.	laptop design features	negative
It is held in place magnetically.	laptop design features	neutral
There is a little indent to help open it - but good luck with that.	laptop design features	neutral
There is a little indent to help open it - but good luck with that.	laptop usability	negative
Once open, the leading edge is razor sharp.	laptop design features	negative
This is the complete opposite to an ergonomic design.	laptop design features	negative
This is the complete opposite to an ergonomic design.	laptop usability	negative
Using this machine is like a mild form of torture.	laptop usability	negative
The much lauded combined touch pad and clicker is a nightmare.	mouse design features	negative
I lost two items I was working on until I figured out what was happening.	mouse operation performance	negative
I lost two items I was working on until I figured out what was happening.	mouse usability	negative
Also, the space bar makes a noisy click every time you use it.	keyboard quality	negative
I hate to say this, but if I could take this back to the shop and get my money back, then I would.	laptop general	negative
It is absolutely horrible to use, despite all its so called advanced features.	laptop design features	neutral
It is absolutely horrible to use, despite all its so called advanced features.	laptop usability	negative
I regret buying it before understanding how awful it is to use.	laptop general	negative
I regret buying it before understanding how awful it is to use.	laptop usability	negative
It's a bummer and one out of five is being kind.	laptop general	negative
My Mac has gone from being a trusted friend to an adversary.	laptop general	negative
In due course, I'll remove the hard disc from this new MacBook Pro and dump it where it belongs - in the trash.	laptop general	negative
But the screen size is not that bad for email and web browsing.	display design features	neutral
I like this machine because its very lightweight...	laptop design features	positive
very convenient when you travel and the battery life is excellent...	battery operation performance	positive
very convenient when you travel and the battery life is excellent...	laptop portability	positive
10 hours of battery life is really something else....	battery operation performance	positive
I highly recommend that you buy this product.	laptop general	positive
It crashes, and when it goes flat, it just DIES (like a PC, maybe worse) and I loose all my open documents!	laptop operation performance	negative
I Hate it!	laptop general	negative
It is the easiest computer I have ever used	laptop usability	positive
I LOVE IT!	laptop general	positive
I can't say enough good for it!	laptop general	positive
It's A MAC!!	laptop general	positive
I fine Apple MC373LL/A 2.66GHz 15" Macboook Pro Notebook meets all my needs for a laptop computer when on the go.	laptop general	positive
I like to use it at the race track to handiecap the horse races.	laptop miscellaneous	positive
It's face and depanable.	laptop quality	positive
As a graphic arts a retired instructor I still love to play with the graphic with photos and clip art .....	laptop miscellaneous	positive
it's just a great toy to have around.	laptop general	positive
very very slow laptop.	laptop operation performance	negative
tons of bloatware and junk programs.	laptop design features	negative
tons of bloatware and junk programs.	software general	negative
can't reinstall with standard os cd because of proprietary hardware drivers.	laptop usability	negative
can't reinstall with standard os cd because of proprietary hardware drivers.	software general	negative
keys are all in weird places and is way too large for the way it is designed.	keyboard design features	negative
keys are all in weird places and is way too large for the way it is designed.	laptop design features	negative
lots of extra space but the keyboard is ridiculously small.	keyboard design features	negative
lots of extra space but the keyboard is ridiculously small.	laptop design features	neutral
Amazing machine.	laptop general	positive
It is a big big, but since it has a 18.4" screen what would you expect!	laptop design features	neutral
It is truly a Desktop Replacement.	laptop miscellaneous	positive
Very fast and efficient!	laptop operation performance	positive
Does a great job with video shot on a Canon 5D MKII.	laptop miscellaneous	positive
Very happy with my 7th Toshiba laptop!	laptop general	positive
The touchpad is very intuitive, so much so that I never want to use buttons to click again!	mouse usability	positive
Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.	laptop design features	positive
Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.	software general	positive
I especially appreciate the fact that it has almost zero viruses and spyware problems!	laptop quality	positive
The only drawback for me is how dirty the screen gets, and rather quickly too.	display quality	negative
I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.	laptop usability	positive
Now I have the best of both worlds with all of the power and ease of the Mac!	laptop general	positive
Now I have the best of both worlds with all of the power and ease of the Mac!	laptop operation performance	positive
Now I have the best of both worlds with all of the power and ease of the Mac!	laptop usability	positive
I also got the added bonus of a 30" HD Monitor, which really helps to extend my screen and keep my eyes fresh!	laptop miscellaneous	positive
I never have had a good result with this computer.	laptop general	negative
I was told by many that it was a great computer, but we got one of these, and it worked great for one year, and as soon as the warrenty was up, then it got really bad.	laptop quality	negative
They told me it was my loss even though it was the computer, not what I've done.	support quality	negative
The hard drive crashed as well, and I had to buy a new power cord.	hard disc quality	negative
The hard drive crashed as well, and I had to buy a new power cord.	power supply quality	negative
They told me to reprogram the computer, and I didn't need to do that, and I lost pictures of my oldests first 2 years of her life.	support quality	negative
I don't like this company nor the toshiba brand, and I'll never buy another one because I've put more into it then it is worth.	company general	negative
I don't like this company nor the toshiba brand, and I'll never buy another one because I've put more into it then it is worth.	laptop general	negative
I would rather spend my money on a computer that costs more then a Toshiba that isn't good at all.	company general	negative
The right speaker did not work.	multimedia devices operation performance	negative
The right speaker did not work.	multimedia devices quality	negative
Again, the same problem, the right speaker did not work.	multimedia devices operation performance	negative
Again, the same problem, the right speaker did not work.	multimedia devices quality	negative
I returned the 2nd laptop for a full refund.	laptop general	negative
the mouse pad and buttons are the worst i've ever seen.	mouse general	negative
sometimes you will be moving your finger and the pointer will not even move.	mouse operation performance	negative
the mouse buttons are hard to push.	mouse usability	negative
i cant believe HP put this out.	company general	negative
i cant believe HP put this out.	laptop general	negative
do not buy you will be disappointed.	laptop general	negative
i'm returning mine	laptop general	negative
dell is a decently made pc.	laptop general	neutral
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.	graphics general	negative
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.	laptop design features	negative
the graphics are awful and the wireless switch it at the top rather than the side which I am used to it being on the side.	laptop usability	negative
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.	laptop design features	negative
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.	laptop usability	negative
so in a brief summary i would have to say that i would not recommend dell vostro 1000 to anyone due to it being a down right awful setup so in my opinion you should steer clear of them if you want a decent laptop.	laptop general	negative
I love HP,, it's the only computer/printer we will buy.	company general	positive
I love HP,, it's the only computer/printer we will buy.	laptop general	positive
This is perfect for her field.	laptop miscellaneous	positive
At first when I got this product, I loved it.	laptop general	positive
The computer itself was fast, ran smoothly, and had no problems.	laptop general	positive
The computer itself was fast, ran smoothly, and had no problems.	laptop operation performance	positive
Then, within 5 months, the charger crapped out on me.	power supply quality	negative
So I called Compaq, and after being on the phone for 3 hours, i finally got a replacement which I shouldn't have had a problem getting since it was under warranty.	support quality	negative
2 months later, the battery went.	battery quality	negative
They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.	battery operation performance	negative
They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.	support quality	negative
THEN, one month after the warranty expired, the replacement charger went.	power supply miscellaneous	negative
I had to pay $100 for a universal charger for this cheap $300 laptop.	laptop miscellaneous	negative
Not worth it one bit.	laptop general	negative
The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.	laptop design features	negative
The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.	laptop quality	negative
The people are frustrating to work with, the product itself is very cheaply made, and the accessories are less than satisfactory.	support quality	negative
Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.	display quality	negative
Also, my sister got the exact same laptop (since they were so cheap) and after 8 months, the screen split in half just from everyday use.	laptop price	positive
Apparently under the screen there are 2 little screws and when the screen gets moved back and forth, they come loose.	laptop quality	negative
And it is impossible to get them back in.	laptop quality	negative
Strengths:Well-shaped	laptop design features	positive
Weaknesses:A bad videocard!	graphics general	negative
After 20-30 min the screen of the notebook switched off.	display operation performance	negative
It was still working, but there was nothing on the screen.	display operation performance	negative
I was said it's videocard.	graphics general	negative
Very disappointed!	laptop general	negative
Didn't expect to repair it at once!	laptop quality	negative
Don't buy this model.	laptop general	negative
An absolutely hateful machine that no one should get of their own free will.	laptop general	negative
Mine came at $1,700 w/o a DVD burner (!).	laptop design features	negative
Mine came at $1,700 w/o a DVD burner (!).	laptop price	negative
The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.	display design features	negative
The 4 USB ports are nice, but the two on the side only work now and then.	laptop design features	positive
The 4 USB ports are nice, but the two on the side only work now and then.	ports operation performance	negative
The 4 USB ports are nice, but the two on the side only work now and then.	ports quality	negative
Keyboard could use some trimming.	keyboard design features	negative
Did I mention everything about it, from size to weight to keyboard screams BULK?	keyboard general	negative
Did I mention everything about it, from size to weight to keyboard screams BULK?	laptop design features	negative
Did I mention everything about it, from size to weight to keyboard screams BULK?	laptop general	negative
I'm glad I made the choice to switch and buy this MAC.	laptop general	positive
The benefits were immediate!	laptop general	positive
Awesome graphics!	graphics general	positive
The magnetic plug-in power charging power cord is great (I even put it to the test by accident)- excellent innovation!	power supply design features	positive
This laptop rocks (only wish it could run SolidWorks CAD - which Apple doesn't support)!	laptop general	positive
This laptop rocks (only wish it could run SolidWorks CAD - which Apple doesn't support)!	laptop usability	negative
I've saved a lot of time and headaches so far, using my new MacBook Pro.	laptop general	positive
I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.	laptop general	positive
I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.	laptop operation performance	positive
I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.	laptop quality	positive
I especially like the backlit keyboard.	keyboard design features	positive
It makes doing schoolwork at night so much easier.	laptop usability	positive
It is also very lightweight, making transporting this computer very easy.	laptop design features	positive
It is also very lightweight, making transporting this computer very easy.	laptop portability	positive
The graphics on this computer are also stellar - very clear and vivid.	graphics quality	positive
I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.	software general	positive
I use iphoto all the time, which is a great program for anyone who is into photography - amateurs and experts alike.	software miscellaneous	positive
The program came with the computer and works beautifully.	software operation performance	positive
I definitely will buy a Mac again if and when this computer ever fails.	company general	positive
I definitely will buy a Mac again if and when this computer ever fails.	laptop general	positive
My hp G60-244dx died after only 16 months.	laptop quality	negative
It started out getting hot after only a few months.	laptop quality	negative
At 16 months it started shutting off after only 5 or 10 minutes.	laptop operation performance	negative
I use a cooling pad but it doesn't help.	laptop miscellaneous	negative
I took it to the shop and they said It would cost too much to repair it.	support price	negative
I will have to say that I love my MacBook Pro!	laptop general	positive
It fires up in the morning in less than 30 seconds and I have never had any issues with it freezing.	laptop operation performance	positive
This is now my 3rd MacBook Pro and I really honestly love it!	laptop general	positive
The MacBook Pro is very sturdy and versatile.	laptop quality	positive
The MacBook Pro is very sturdy and versatile.	laptop usability	positive
I love it!	laptop general	positive
I even got my teenage son one, because of the features that it offers, like, iChat, Photobooth, garage band and more!	laptop design features	positive
We are addicted to the Mac.	laptop general	positive
This is a great laptop and I would recommend it to anyone.	laptop general	positive
The OS takes some getting used to especially after being a Windows user for so long but the learning curve is so worth it!	os usability	positive
Great laptop that offers many great features!	laptop design features	positive
Great laptop that offers many great features!	laptop general	positive
Lightweight and the screen is beautiful!	display general	positive
Lightweight and the screen is beautiful!	laptop design features	positive
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.	laptop general	positive
It is easy to operate and I have already ordered more software and gadgets for my new Rolls Royce of laptops.	laptop usability	positive
Buy it, love it, and I promise you won't regret it.	laptop general	positive
This computer is good for 10 days then it sucks for the rest of your life.	laptop quality	negative
You will regret it if you buy any dell.	company general	negative
Dell sucks	company general	negative
The only pro to this computer is it was under $600!	laptop general	negative
The only pro to this computer is it was under $600!	laptop price	positive
Everything is falling apart internally and externally.	laptop quality	negative
With in weeks of purchasing my computer is began to slow down.	laptop operation performance	negative
With in weeks of purchasing my computer is began to slow down.	laptop quality	negative
I am constantly trying to uninstall programs, clean cookies, and delete unused files.	laptop usability	negative
Nightly my computer defrags itself and runs a virus scan.	laptop operation performance	negative
More times that not the screen pops up saying I have a bad internet connection, or the page can't be displayed.	laptop operation performance	negative
It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.	software operation performance	negative
I have Vista, so I am unable to install and uninstall? some programs.	laptop usability	negative
I have Vista, so I am unable to install and uninstall? some programs.	os general	negative
I can't even install one of the 3 printers I have in my house so I am unable to print.	laptop connectivity	negative
I can't even install one of the 3 printers I have in my house so I am unable to print.	laptop usability	negative
Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.	display quality	negative
Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.	keyboard quality	negative
Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.	mouse quality	negative
In short I would never buy a Compaq again.	company general	negative
I bought this laptop on Saturday and am completely in love with it!	laptop general	positive
It was super easy to set up and Is really easy to get used to.	laptop usability	positive
The online tutorial videos make it super easy to learn if you have always used a PC.	laptop usability	positive
The performance is awesome.	laptop operation performance	positive
I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.	laptop general	positive
I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.	laptop price	positive
With all the goodies inside this machine, it is a value.	laptop design features	positive
With all the goodies inside this machine, it is a value.	laptop general	positive
It is very well built.	laptop quality	positive
The keyboard is top notch.	keyboard quality	positive
The touch pad is among the best.	mouse general	positive
The screen is huge and coloful, but no LED backlighting.	display design features	positive
The video card is great for media, and above average for gaming, but not a gamers first choice.	graphics miscellaneous	negative
The problem I had with this unit was unresolvable.	laptop general	negative
It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.	fans cooling operation performance	negative
It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.	fans cooling quality	negative
I acually believe the issue is with the Nvidia grafics card, but still requires a return.	graphics general	neutral
I acually believe the issue is with the Nvidia grafics card, but still requires a return.	laptop general	negative
Sorry Toshiba, but 1st impressions do count for something.	company general	negative
I got the black MacBook two years ago and have never regretted it.	laptop general	positive
So this was great for me.	laptop general	positive
It has just enough RAM to run smoothly and enough memory to satisfy my needs.	laptop operation performance	positive
It has just enough RAM to run smoothly and enough memory to satisfy my needs.	memory design features	positive
Plus it is small and reasonably light so I can take it with me to and from work.	laptop design features	positive
Plus it is small and reasonably light so I can take it with me to and from work.	laptop portability	positive
I also travel with it and it never gives me any problems.	laptop general	positive
I also travel with it and it never gives me any problems.	laptop portability	positive
But I am glad to have gotten mine right before they stopped making it.	laptop general	positive
I look forward to years of use, it has held up well over the years and it fits my needs very well.	laptop general	positive
I look forward to years of use, it has held up well over the years and it fits my needs very well.	laptop quality	positive
The difference is the Toshiba had a lot more memory and hard drive space.	hard disc design features	positive
The difference is the Toshiba had a lot more memory and hard drive space.	memory design features	positive
